Model,Dataset,Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,AUC-ROC
CNN (without dropout),Cat vs Dogs,1,0.5897,,,,,0.525,0.75,,,,
CNN (without dropout),Cat vs Dogs,2,0.4639,,,,,0.4528,0.7798,,,,
CNN (without dropout),Cat vs Dogs,3,0.3854,,,,,0.4311,0.7998,,,,
CNN (without dropout),Cat vs Dogs,4,0.3153,,,,,0.4107,0.8166,,,,
CNN (without dropout),Cat vs Dogs,5,0.2327,,,,,0.4382,0.8096,,,,
CNN (without dropout),Cat vs Dogs,6,0.1378,,,,,0.5239,0.8256,,,,
CNN (without dropout),Cat vs Dogs,7,0.0827,,,,,0.6602,0.816,,,,
CNN (without dropout),Cat vs Dogs,8,0.0507,,,,,0.763,0.8218,,,,
CNN (without dropout),Cat vs Dogs,9,0.0427,,,,,0.7745,0.8176,,,,
CNN (without dropout),Cat vs Dogs,10,0.0405,,,,,0.9642,0.8134,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,1,0.6439,0.6153,,,,0.5723,0.6918,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,2,0.5279,0.7357,,,,0.4835,0.7626,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,3,0.4832,0.7681,,,,0.5171,0.7414,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,4,0.4477,0.7895,,,,0.4436,0.793,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,5,0.4245,0.8044,,,,0.4032,0.812,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,6,0.3901,0.82,,,,0.3719,0.8328,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,7,0.3723,0.8332,,,,0.3703,0.8368,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,8,0.3599,0.8383,,,,0.3908,0.8324,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,9,0.3477,0.8472,,,,0.345,0.8516,,,,
"CNN (dropout=0.1, early stopping)",Cat vs Dogs,10,0.3348,0.8521,0.87,0.84,0.86,0.3219,0.8612,,,,
"CNN (dropout=0.1, early stopping)",CIFAR-10,1,1.5582,0.4349,0.429,0.4349,0.4306,1.2678,0.5407,0.556,0.5407,0.5346,0.91
"CNN (dropout=0.1, early stopping)",CIFAR-10,2,1.2755,0.542,0.5372,0.542,0.5389,1.0247,0.6383,0.6512,0.6383,0.6363,0.9397
"CNN (dropout=0.1, early stopping)",CIFAR-10,3,1.0872,0.6135,0.6108,0.6135,0.6119,0.7755,0.737,0.7449,0.737,0.7365,0.9663
"CNN (dropout=0.1, early stopping)",CIFAR-10,4,0.929,0.6687,0.6672,0.6687,0.6679,0.6835,0.7728,0.7824,0.7728,0.7728,0.9756
"CNN (dropout=0.1, early stopping)",CIFAR-10,5,0.8042,0.7149,0.714,0.7149,0.7144,0.5895,0.8034,0.8135,0.8034,0.803,0.9812
